PWM: 35.289000, RPM: 351.428589

PWM: 34.896900, RPM: 351.428589

PWM: 34.504800, RPM: 351.428589

Pressed!!!!PWM: 34.112700, RPM: 351.428589

PWM: 33.720600, RPM: 351.428589

PWM: 33.328500, RPM: 351.428589

PWM: 32.936400, RPM: 351.428589

PWM: 32.544300, RPM: 351.428589

PWM: 32.152200, RPM: 351.428589

PWM: 31.760100, RPM: 351.428589

PWM: 31.368000, RPM: 351.428589

PWM: 30.975900, RPM: 94.285713

PWM: 30.583800, RPM: 94.285713

PWM: 30.191700, RPM: 94.285713

PWM: 29.799600, RPM: 94.285713

PWM: 29.407500, RPM: 94.285713

PWM: 29.015400, RPM: 94.285713

PWM: 28.623300, RPM: 94.285713

PWM: 28.231200, RPM: 94.285713

PWM: 27.839100, RPM: 94.285713

PWM: 27.447000, RPM: 94.285713

PWM: 27.054900, RPM: 94.285713

PWM: 26.662800, RPM: 0.000000

PWM: 26.270700, RPM: 0.000000

PWM: 25.878600, RPM: 0.000000

PWM: 25.486500, RPM: 0.000000

PWM: 25.094400, RPM: 0.000000

PWM: 24.702300, RPM: 0.000000

PWM: 24.310200, RPM: 0.000000

PWM: 23.918100, RPM: 0.000000

PWM: 23.526000, RPM: 0.000000

PWM: 23.133900, RPM: 0.000000

PWM: 22.741800, RPM: 0.000000

PWM: 22.349700, RPM: 0.000000

PWM: 21.957600, RPM: 0.000000

PWM: 21.565500, RPM: 0.000000

PWM: 21.173400, RPM: 0.000000

PWM: 20.781300, RPM: 0.000000

PWM: 20.389200, RPM: 0.000000

PWM: 19.997100, RPM: 0.000000

PWM: 19.605000, RPM: 0.000000

PWM: 19.212900, RPM: 0.000000

PWM: 18.820800, RPM: 0.000000

PWM: 18.428700, RPM: 0.000000

PWM: 18.036600, RPM: 0.000000

PWM: 17.644500, RPM: 0.000000

PWM: 17.252400, RPM: 0.000000

PWM: 16.860300, RPM: 0.000000

